89, Ac , Actinium,227,3,0,0,0,0,0,0,0,0,0
13, Al , Aluminum,26.9815386,1,3,0,0,0,0,0,0,0,0
95, Am , Americium,243,2,3,4,5,6,0,0,0,0,0
51, Sb , Antimony,121.76,-3,3,5,0,0,0,0,0,0,0
18, Ar , Argon,39.948,0,0,0,0,0,0,0,0,0,0
33, As , Arsenic,74.9216,-3,2,3,5,0,0,0,0,0,0
85, At , Astatine,210,-1,1,3,5,0,0,0,0,0,0
56, Ba , Barium,137.327,2,0,0,0,0,0,0,0,0,0
97, Bk , Berkelium,247,3,4,0,0,0,0,0,0,0,0
4, Be , Beryllium,9.012182,2,0,0,0,0,0,0,0,0,0
83, Bi , Bismuth,208.9804,-3,3,5,0,0,0,0,0,0,0
107, Bh , Bohrium,272,0,0,0,0,0,0,0,0,0,0
5, B , Boron,10.811,1,2,3,0,0,0,0,0,0,0
35, Br , Bromine,79.904,-1,1,3,4,5,7,0,0,0,0
48, Cd , Cadmium,112.411,2,0,0,0,0,0,0,0,0,0
20, Ca , Calcium,40.078,2,0,0,0,0,0,0,0,0,0
98, Cf , Californium,251,2,3,4,0,0,0,0,0,0,0
6, C , Carbon,12.0107,-4,-3,-2,-1,1,2,3,4,0,0
58, Ce , Cerium,140.116,2,3,4,0,0,0,0,0,0,0
55, Cs , Cesium,132.9054519,1,0,0,0,0,0,0,0,0,0
17, Cl , Chlorine,35.453,-1,1,2,3,4,5,6,7,0,0
24, Cr , Chromium,51.9961,-2,-1,1,2,3,4,5,6,0,0
27, Co , Cobalt,58.933195,-1,1,2,3,4,5,0,0,0,0
112, Cn , Copernicium,285,0,0,0,0,0,0,0,0,0,0
29, Cu , Copper,63.546,1,2,3,4,0,0,0,0,0,0
96, Cm , Curium,247,3,4,0,0,0,0,0,0,0,0
110, Ds , Darmstadtium,281,0,0,0,0,0,0,0,0,0,0
105, Db , Dubnium,268,0,0,0,0,0,0,0,0,0,0
66, Dy , Dysprosium,162.5,2,3,0,0,0,0,0,0,0,0
99, Es , Einsteinium,252,2,3,0,0,0,0,0,0,0,0
68, Er , Erbium,167.259,3,0,0,0,0,0,0,0,0,0
63, Eu , Europium,151.964,2,3,0,0,0,0,0,0,0,0
100, Fm , Fermium,257,2,3,0,0,0,0,0,0,0,0
114, Fl , Flerovium,289,0,0,0,0,0,0,0,0,0,0
9, F , Fluorine,18.9984032,-1,0,0,0,0,0,0,0,0,0
87, Fr , Francium,223,1,0,0,0,0,0,0,0,0,0
64, Gd , Gadolinium,157.25,1,2,3,0,0,0,0,0,0,0
31, Ga , Gallium,69.723,1,2,3,0,0,0,0,0,0,0
32, Ge , Germanium,72.64,-4,1,2,3,4,0,0,0,0,0
79, Au , Gold,196.966569,-1,1,2,3,5,0,0,0,0,0
72, Hf , Hafnium,178.49,2,3,4,0,0,0,0,0,0,0
108, Hs , Hassium,270,0,0,0,0,0,0,0,0,0,0
2, He , Helium,4.002602,0,0,0,0,0,0,0,0,0,0
67, Ho , Holmium,164.93032,3,0,0,0,0,0,0,0,0,0
1, H , Hydrogen,1.00794,-1,1,0,0,0,0,0,0,0,0
49, In , Indium,114.818,1,2,3,0,0,0,0,0,0,0
53, I , Iodine,126.90447,-1,1,3,5,7,0,0,0,0,0
77, Ir , Iridium,192.217,-3,-1,1,2,3,4,5,6,0,0
26, Fe , Iron,55.845,-2,-1,1,2,3,4,5,6,0,0
36, Kr , Krypton,83.798,2,0,0,0,0,0,0,0,0,0
57, La , Lanthanum,138.90547,2,3,0,0,0,0,0,0,0,0
103, Lr , Lawrencium,262,3,0,0,0,0,0,0,0,0,0
82, Pb , Lead,207.2,-4,2,4,0,0,0,0,0,0,0
3, Li , Lithium,6.941,1,0,0,0,0,0,0,0,0,0
116, Lv , Livermorium,293,0,0,0,0,0,0,0,0,0,0
71, Lu , Lutetium,174.9668,3,0,0,0,0,0,0,0,0,0
12, Mg , Magnesium,24.305,1,2,0,0,0,0,0,0,0,0
25, Mn , Manganese,54.938045,-3,-2,-1,1,2,3,4,5,6,7
109, Mt , Meitnerium,276,0,0,0,0,0,0,0,0,0,0
101, Md , Mendelevium,258,2,3,0,0,0,0,0,0,0,0
80, Hg , Mercury,200.59,1,2,4,0,0,0,0,0,0,0
42, Mo , Molybdenum,95.96,-2,-1,1,2,3,4,5,6,0,0
115, Mc , Moscovium,288,0,0,0,0,0,0,0,0,0,0
60, Nd , Neodymium,144.242,2,3,0,0,0,0,0,0,0,0
